method,n,coverage_mean,coverage_se,nmse_mean,nmse_se,scaled_remainder_mean,scaled_remainder_se
ema_05,1659504,0.892,0.011949388218142332,1.579120118412692,0.08555255316324975,4.4699397481322745,0.1300943947071746
ema_05,1793047,0.89,0.011763666026534347,1.5784964352333,0.0859015303853081,4.494786078606993,0.13016050939031273
ema_05,1937337,0.884,0.011434486203912912,1.5824500313947272,0.08130462037478618,4.428878269136412,0.12810147278715872
ema_05,2093238,0.8740000000000001,0.011336897835177513,1.5776061431521933,0.07634837357233706,4.45139713360099,0.12671100387649462
ema_05,2261685,0.88,0.010917505172516256,1.532977108067163,0.07556133877216173,4.465503325789288,0.12898292559296468
ema_05,2443687,0.889,0.011,1.487129675736069,0.07796135235234151,4.441640332119201,0.12739695219872932
ema_05,2640335,0.889,0.011882845627290636,1.4693284481181743,0.08241448151475256,4.447248618588559,0.12199332423078953
ema_05,2852807,0.888,0.011571473108424435,1.488284144991189,0.08470028960766007,4.448988517798669,0.12205891994923565
ema_05,3082378,0.878,0.012274635093014645,1.5055864274768425,0.08409778276529235,4.410015975278751,0.12532902950388689
ema_05,3330423,0.888,0.011658438657006859,1.5422082311858551,0.08396262434670017,4.3546179016276145,0.12799754271288172
ema_05,3598428,0.885,0.011492202011394817,1.5741608633819322,0.08138637280128948,4.390782871747991,0.1202526595315846
ema_05,3888000,0.87,0.011590661514488045,1.5723043487186725,0.08024944577799552,4.376277958287628,0.12266008270882549
ema_05,4200874,0.867,0.011981045636565055,1.6189537071472944,0.08243240977456694,4.337261512222331,0.12166694110380942
ema_05,4538926,0.862,0.012208624207932074,1.6295126205040744,0.08433925305184847,4.350571068423107,0.12533571533736135
ema_05,4904182,0.866,0.012327189296818475,1.601375769247531,0.08279166324742257,4.39500641196124,0.1295122423881773
ema_05,5298831,0.8759999999999999,0.011557497894257111,1.5558625926638407,0.08066824861842051,4.322055282358273,0.12680204481188356
ema_05,5725237,0.8859999999999999,0.011193432417847943,1.5750232952423753,0.0813653418539498,4.382138236550472,0.12975969394888015
ema_05,6185958,0.882,0.011044446476840657,1.5642681028554646,0.07935428224108412,4.255543659707714,0.13521569370369796
ema_05,6683753,0.877,0.0115343141989632,1.541428389091009,0.0774960530803403,4.205943372920276,0.13366324117917322
ema_05,7221607,0.875,0.01157976291168818,1.574070899907781,0.08134521328754825,4.1061475852398015,0.13071736837058043
ema_05,7802743,0.875,0.01140396882889922,1.5970451472686995,0.08427978773121378,4.1777165120912505,0.1382443207457173
ema_05,8430644,0.883,0.010829719677019728,1.5336055649632723,0.0812074953690474,4.131528198744183,0.1306976225778907
ema_05,9109073,0.885,0.010952145677879516,1.5130589312648683,0.0800774875499176,4.0652022099050535,0.13423300873169033
ema_05,9842097,0.885,0.011043989178267832,1.4931427216172566,0.07793730737722891,4.095238936103114,0.13316184215262533
ema_05,10634108,0.879,0.010473149893268436,1.5003975804348195,0.07592396712731278,4.031654195429797,0.13283035833773676
ema_05,11489854,0.888,0.010471703092456623,1.4924582380947384,0.07316218968016538,3.9732307834527485,0.1264462369198202
ema_05,12414464,0.898,0.010247443632931143,1.4593981120063506,0.07438363649543517,3.9677782257375127,0.13329185042727304
ema_05,13413478,0.9,0.009211323729436767,1.4482101427606289,0.0738665030406445,4.013075689364028,0.13530262054637027
ema_05,14492886,0.904,0.008980337668844342,1.447697963540331,0.07068836883677924,4.043279361867004,0.13810444693795276
ema_05,15659155,0.8959999999999999,0.010241527663824811,1.4279394774411938,0.06452452145213408,4.114534320082457,0.14188548175884147
ema_05,16919275,0.893,0.010075974023649154,1.4444371474387667,0.06658504398483932,4.020604317842486,0.1390945257563034
ema_05,18280800,0.897,0.010195562512656913,1.4512912193826175,0.06484927455293425,3.9823610665491884,0.1306141925371702
ema_05,19751890,0.894,0.009621104747670955,1.448947491880024,0.06381028698092318,3.997794196769624,0.13117783411417777
ema_05,21341360,0.89,0.01,1.5011971880200656,0.06698701411640447,4.029143962262193,0.1287243724095903
ema_05,23058738,0.899,0.009999494936740506,1.5020195422487064,0.06818909930535179,4.111621301301594,0.12352888813490377
ema_05,24914317,0.893,0.00956160250294073,1.499175783348426,0.07172537661372613,4.084867199442835,0.11822222609741964
ema_05,26919218,0.883,0.0106415423808029,1.5136153929516691,0.07834816217566319,4.130788505312028,0.1188731054647751
ema_05,29085456,0.895,0.010671873729054749,1.4763065042518153,0.07727921997693263,4.105713956446917,0.11838586904860057
ema_05,31426016,0.903,0.01039181884897437,1.446038532637069,0.07234774800645424,4.085570027290014,0.11517941134742775
ema_05,33954925,0.898,0.011368928060838685,1.4605301485939415,0.0750579279509144,4.15357509762335,0.11156301902282259
ema_05,36687339,0.8959999999999999,0.010817120735671808,1.453656679637098,0.0739119637255071,4.12406701078571,0.11207509153154789
ema_05,39639636,0.902,0.010539008827717484,1.4135851350467257,0.07309958289315754,4.099630712306978,0.11190302560864829
ema_05,42829510,0.897,0.010096003809888987,1.4435450231428726,0.07260425595722961,4.076194197462362,0.10801777978731435
ema_05,46276079,0.897,0.01058443683104127,1.4558117882030064,0.07447836824153142,3.9996864997796195,0.11398316791775245
ema_05,49999999,0.894,0.01052366261087245,1.4470925563131405,0.07130299391401786,3.976102654531354,0.11817508761772914
ema_099,4999,0.15,0.015472360498448173,304.7153204720997,44.689464886396365,62.44358995775038,3.7409863549630473
ema_099,5402,0.158,0.01590248058916875,282.2201558825851,41.43220163191957,60.06094824338672,3.6043751391016237
ema_099,5837,0.166,0.01577749323971628,261.4463547174525,38.40000315131496,57.817036055002866,3.4693644117257265
ema_099,6306,0.17,0.01598610507770907,242.2047257324275,35.56067621042301,55.63688812782314,3.3390528098751795
ema_099,6814,0.183,0.01694047809183076,224.28342342280652,32.923516372178,53.61145235034336,3.2075998506894265
ema_099,7362,0.184,0.016374407229613294,207.816969162282,30.529679806395546,51.55624057496353,3.0957945603866923
ema_099,7955,0.187,0.01691661068806979,192.7338647783125,28.319304566937205,49.59293580633939,2.9863824747657888
